date,home_team,away_team,home_score,away_score,result
2025-04-18,1114 21 Αποτελσματα Πμε Στοχημα ΟΠΑΠ Πμπτη 17 04 Παρασκευ 18 04 Σββατο 19 04 λα Επιλεγμνα Live Τελικ Προγ λα Κουπνι ρα Διοργανωση ΔIO ΩΡΑ ΚΩΔ ΟΜΑΔΕΣ 1 Χ 2 ΗΜΙΧ ΣΚΟΡ ΛΕΠ ΤΕΛ,- Μασατλν Γ Σντος Λαγκονα Γ 1 - 11 - 22 06,6,6,draw
2025-04-18,Πμπτη 17 04 Παρασκευ 18 04 Σββατο 19 04 λα Επιλεγμνα Live Τελικ Προγ λα Κουπνι ρα Διοργανωση ΔIO ΩΡΑ ΚΩΔ ΟΜΑΔΕΣ 1 Χ 2 ΗΜΙΧ ΣΚΟΡ ΛΕΠ ΤΕΛ,- Μασατλν Γ Σντος Λαγκονα Γ 1 - 11 - 22 06,6,6,draw
2025-04-18,ΔIO ΩΡΑ ΚΩΔ ΟΜΑΔΕΣ 1 Χ 2 ΗΜΙΧ ΣΚΟΡ ΛΕΠ ΤΕΛ,- Μασατλν Γ Σντος Λαγκονα Γ 1 - 11 - 22 06,6,6,draw
2025-04-18,06 - Μασατλν Γ Σντος Λαγκονα Γ,- 22 06,1,11,away
2025-04-18,06 - Μασατλν Γ Σντος Λαγκονα Γ,1 - 2 2,1,1,draw
2025-04-18,30 1586 Σδνε Γιουθ Γλονγκονγκ Γουλβς 2.62 3.85 2.07,2 - 2 X,2,0,home
2025-04-18,00 1587 Οσκα Θσπα Γκονμα,4 - 3 1,0,2,away
2025-04-18,15 1526 Νρθερν Τιγκερς Μπνιριγκ Γουιτ Ιγκλς 1.47 4.25 4.75,3 - 0 1,1,0,home
2025-04-18,50 - Αντελαντ Γιουνιτεντ Γ Σδνε Γ,2 - 1 1,1,1,draw
2025-04-18,00 - Ουν. Κραβα 1948 Ουνιρα Ουνγκεν,2 - 0 1,1,0,home
2025-04-18,00 - Κορβινολ Ουνεντορα Μεταλολ Μπουζου,5 - 0 1,2,0,home
2025-04-18,00 - Φοσκνι Μπχορ Ορντεα,1 - 1 X,1,0,home
2025-04-18,00 - Μεταλογκλμπους Βολουντρι,0 - 0 X,0,0,draw
2025-04-18,00 - Αφουμτι CSM Σλατνα,1 - 1 X,1,0,home
2025-04-18,00 - Τσεαχλουλ Πιτρα Ναμτς Κονκρντια Κιζνα,1 - 1 X,0,1,away
2025-04-18,00 - Καμπουλονγκ Μουσκλ Σχντια Ταργκβιστε,1 - 1 X,0,0,draw
2025-04-18,00 1558 Μνλι Γιουνιτεντ Απα Λιχρντ Τιγκερς 3.25 3.70 1.82,1 - 2 2,0,1,away
2025-04-18,15 1539 Αντμρα Πργας Γσκρα Ντομαζλτσε,0 - 0 X,0,0,draw
2025-04-18,15 1541 Χλομετς Εκλαρν Βαλκορτ,1 - 1 X,0,1,away
2025-04-18,30 1542 Μπρνεο Σαμαρντα ΠΣΜ Μακασρ,1 - 1 X,1,0,home
2025-04-18,00 - Τουρκγιε Βλχελμσμπουργκ Βρβαρτς Βκερ,2 - 4 2,1,1,draw
2025-04-18,00 1543 Μπουντεγιβιτσε Β Λκο Βλτβιν,0 - 1 2,0,0,draw
2025-04-18,30 - Σλβαν Μπρατισλβας ΙΙ Ζβολν,1 - 3 2,1,2,away
2025-04-18,35 219 Αντελαντ Γιουνιτεντ Ουλινγκτον Φονιξ 1.44 4.50 5.15,3 - 2 1,2,2,draw
2025-04-18,00 - Μακμπι Βερολνου ιντραχτ Μχλσντορφ,0 - 1 2,0,1,away
2025-04-18,00 - Κνυα Πολς Ουλνζι Στρς,0 - 1 2,0,0,draw
2025-04-18,00 - Ρελ Σοσιεδδ Γ Εμπρ Γ,0 - 0 X,0,0,draw
2025-04-18,00 - Γκουτ Νκα Ιλρια,0 - 5 2,0,1,away
2025-04-18,00 - Χμκι 2 Σπαρτκ Ταμπφ,3 - 0 1,2,0,home
2025-04-18,00 221 Φελγκιιρας Λεσες 2.12 3.05 3.30,4 - 0 1,2,0,home
2025-04-18,00 1050 Λερα Μπενφκα Β 2.05 3.30 3.25,1 - 3 2,0,0,draw
2025-04-18,00 1544 Χονγκ Ανι Γκια Λι Χνγκ Λιν Χα Τιν,0 - 1 2,0,1,away
2025-04-18,00 - στριο Χστραφορς,0 - 0 X,0,0,draw
2025-04-18,00 - Ζβζντα Σεντ Πτερσμπουργκ Ντιναμ Βολγκντα,1 - 2 2,0,1,away
2025-04-18,00 - Περθ Γκλρι Γ Μλμπουρν Στι Γ,1 - 5 2,1,4,away
2025-04-18,00 - Βιτσζ Γ Τζουργκρντεν Γ,1 - 2 2,0,0,draw
2025-04-18,00 - Χγκα χλαφορς,0 - 0 X,0,0,draw
2025-04-18,00 - Τορντ Τνταχολμς GOIF,1 - 1 X,0,0,draw
2025-04-18,00 - Λντκοπινγκ ΦΚ ΙΦΚ Κομλα,1 - 0 1,1,0,home
2025-04-18,00 - ΙΦΚ Τρλεμποργκ Χγκαμποργκς,2 - 2 X,0,0,draw
2025-04-18,00 - Αραμισκα Συρινσκα Σμντμπι,2 - 2 X,0,2,away
2025-04-18,00 222 Λοκομοτβ Σφιας Μπτεφ Πλβντιβ 2.47 3.10 2.55,1 - 1 X,0,0,draw
2025-04-18,00 223 Χρσενς σμπιεργκ 1.67 3.70 4.15,3 - 2 1,2,2,draw
2025-04-18,00 1545 Σφιλντ Γουνσντε U21 Μπρνσλε U21,2 - 0 1,1,0,home
2025-04-18,00 1645 Λανζο Λονγκγιν Λιαοννγκ Τιρεν 6.15 4.00 1.38,0 - 2 2,0,1,away
2025-04-18,00 1653 νγκελχολμς Αρινα 3.05 3.25 2.02,2 - 1 1,1,1,draw
2025-04-18,00 1654 Κρλμπεργκς νκεπινγκ 1.87 3.55 3.20,1 - 1 X,1,0,home
2025-04-18,00 1655 Λιουνγκσκλε Χουσκβρνα 1.87 3.45 3.25,3 - 1 1,2,0,home
2025-04-18,00 1656 ΒΚ Ολμπικ Τορσλντα 2.05 3.30 2.90,0 - 6 2,0,4,away
2025-04-18,00 1657 ΙΦΚ Στκσουντ ρεμπρο Συρινσκα 2.15 3.50 2.62,1 - 2 2,1,1,draw
2025-04-18,05 220 Βρσκλα Πολτβα Ολεξαντργια 4.00 2.90 1.95,1 - 3 2,0,3,away
2025-04-18,30 - Λαντβτερ Λχολμς,0 - 0 X,0,0,draw
2025-04-18,30 224 Ντρμπι Λοτον 2.37 2.95 3.20,0 - 1 2,0,1,away
2025-04-18,30 225 Γκιτσχεντ Γιορκ 3.05 3.45 2.07,1 - 3 2,1,1,draw
2025-04-18,30 1635 Φλρα Ταλν Πιντε Λιναμεσκντ 2.35 3.00 2.67,1 - 0 1,1,0,home
2025-04-18,30 1646 Γκουανγκντνγκ Μινγκτο Σενζν Τζονιορς 6.35 4.00 1.37,2 - 2 X,2,0,home
2025-04-18,30 1647 Γκουιτσου Ζουτσνγκ Φοσν Νανσχ 2.40 2.90 2.67,2 - 1 1,0,0,draw
2025-04-18,00 - Μντσεστερ Γιουν. U18 Ντρμπι U18,4 - 3 1,1,2,away
2025-04-18,00 - Ταζμανα Μπερλν Ντιναμ Σβερν,1 - 2 2,0,0,draw
2025-04-18,00 - Τνις Μποροσια Βερολνου Χνσα Ροστκ ΙΙ,2 - 3 2,2,0,home
2025-04-18,00 - Προυσεν Βερολνου Σπρτα Λχτενμπεργκ,0 - 6 2,0,3,away
2025-04-18,00 - Βνερσομποργκς ΦΚ Γκρμπεσταντ,1 - 1 X,1,0,home
2025-04-18,00 - Μπολστανες Κορσνς,4 - 2 1,3,0,home
2025-04-18,00 - Καρλσκρνα ΙΦΚ Κρλσχαμν,3 - 1 1,2,0,home
2025-04-18,00 - Λινρο Σλβεσμποργκς,0 - 1 2,0,0,draw
2025-04-18,00 - Ατβνταμπεργκ Φργουορντ,1 - 1 X,0,0,draw
2025-04-18,00 226 ξετερ Μπρτον 2.85 3.20 2.40,0 - 0 X,0,0,draw
2025-04-18,00 1559 Μπρμσγκρουβ Σπρτινγκ Μπγκλσγουιντ Τουν 1.45 4.35 4.75,3 - 0 1,1,0,home
2025-04-18,00 1560 Μτα Λου Γιελγκβα 2.55 3.20 2.45,0 - 0 X,0,0,draw
2025-04-18,00 1634 Θστιντ ΧΙΚ Χλερουπ 2.50 3.25 2.55,1 - 1 X,0,0,draw
2025-04-18,00 1665 Αραρτ Γιερεβν Αλασκρτ,3 - 2 1,1,2,away
2025-04-18,00 1666 Μαλοτ Γιουνιτεντ Μπικ Νουμφρ,1 - 1 X,0,1,away
2025-04-18,00 1667 Πρσιμπ Μπαντονγκ Μπαλ Γιουν. Πουσμ,2 - 1 1,0,1,away
2025-04-18,00 1668 Γουτφορντ U21 Μπρντφορντ U21,2 - 1 1,0,0,draw
2025-04-18,00 1669 Κρου U21 Μπρνλι U21,0 - 5 2,0,2,away
